list_name | name | label | gov | order | sector
building_documents | ownership | Ownership_Document | ?????  ????? ?????/????? |  |
building_documents | permit | Permit | ???? ??????? |  |
building_documents | other | Other | ???? |  |
|  |  |  |  |
resident_in_building | owner | Owner | ?????? |  |
resident_in_building | rentee | Rentee | ?????? |  |
resident_in_building | hosted_resident | Hosted Resident | ???? ???? ????? |  |
resident_in_building | unoccupied | Unoccupied | ????? |  |
|  |  |  |  |
current_residence | other_building | Other Building | ???? ??? ?????? |  |
current_residence | rented_apartment | Rented Apartment | ??? ??????? |  |
current_residence | relative | Relative | ??? ??????? |  |
current_residence | tent | Tent | ???? |  |
current_residence | caravan | Caravan | ?????? |  |
current_residence | other | Other | ???? |  |
|  |  |  |  |
rentee_job | employee | Employee | ???? |  |
rentee_job | businessman | Businessman | ???? |  |
rentee_job | technical | Technical | ???? |  |
rentee_job | unemployed | Unemployed | ?????? |  |
rentee_job | other | Other | ???? |  |
|  |  |  |  |
external_finishing | west_bank_stone | West Bank Stone | ??? ???? |  |
external_finishing | Italian_plastering | Italian Plastering | ????? ??????? |  |
external_finishing | free_lime_plastering | Free Lime Plastering | ????? ????? |  |
external_finishing | plastering | Plastering | ????? ????? |  |
external_finishing | tyroleen | Tyroleen | ????? ?? ???? |  |
external_finishing | painted_tyrloeen | Painted Tyroleen | ????? ???? ?? ???? |  |
external_finishing | painted_plastering | Painted Plastering | ????? ????? ?? ???? |  |
external_finishing | unfinished | Unfinished | ???? ????? |  |
external_finishing | other | Other | ???? |  |
|  |  |  |  |
internal_finishing | unfinished | Unfinished | ??? ???? |  |
internal_finishing | super_lux | Super Lux | ???? |  |
internal_finishing | normal | Normal | ????? |  |
internal_finishing | sub_normal | Sub_Normal | ??? ??????? |  |
|  |  |  |  |
|  |  |  |  |
occupied_by | 1 | ?????? |  |  |
occupied_by | 2 | ?????? |  |  |
occupied_by | 3 | ???????? |  |  |
|  |  |  |  |
